split,filename,niqe,brisque,piqe
val,0_1_part_006.mp4_frame_000370.jpg,4.0234,41.8742,26.3909
val,0_1_part_006.mp4_frame_000391.jpg,4.155,42.1525,26.0831
val,0_1_part_006.mp4_frame_000405.jpg,4.1141,41.6486,29.0685
val,0_1_part_006.mp4_frame_000408.jpg,4.1861,41.1628,30.2502
val,0_1_part_006.mp4_frame_000411.jpg,4.193,40.8845,29.5324
val,0_1_part_006.mp4_frame_000415.jpg,4.1163,40.6652,30.653
val,0_1_part_006.mp4_frame_000425.jpg,4.5288,41.2961,31.9272
val,0_1_part_006.mp4_frame_000452.jpg,4.2692,40.7355,26.4072
val,0_1_part_006.mp4_frame_000474.jpg,4.916,35.4523,42.5873
val,0_1_part_006.mp4_frame_000479.jpg,4.9499,37.2492,46.9308
val,0_1_part_006.mp4_frame_000489.jpg,5.9399,47.2141,56.4889
val,0_1_part_006.mp4_frame_000494.jpg,6.323,49.5505,61.2688
val,0_1_part_006.mp4_frame_000497.jpg,6.432,51.9787,64.8832
val,0_1_part_006.mp4_frame_000503.jpg,5.0132,40.4221,49.4022
val,0_1_part_006.mp4_frame_000504.jpg,5.0149,40.7209,49.4986
val,0_1_part_006.mp4_frame_000508.jpg,4.808,39.5099,47.2967
val,0_1_part_006.mp4_frame_000525.jpg,4.6021,42.6813,49.4877
val,0_1_part_006.mp4_frame_000532.jpg,5.8953,49.9953,63.346
val,0_1_part_006.mp4_frame_000555.jpg,6.2667,51.466,59.2209
val,0_1_part_006.mp4_frame_000560.jpg,4.6307,38.4855,39.1619
val,0_1_part_007.mp4_frame_000001.jpg,4.044,38.4445,24.9884
val,0_1_part_007.mp4_frame_000002.jpg,3.9505,37.9831,24.9618
val,0_1_part_007.mp4_frame_000006.jpg,4.0737,39.9059,26.0034
val,0_1_part_007.mp4_frame_000047.jpg,4.0592,40.1833,30.9035
val,0_1_part_007.mp4_frame_000050.jpg,4.1513,41.2516,31.1601
val,0_1_part_007.mp4_frame_000065.jpg,4.179,41.5124,32.1629
val,0_1_part_007.mp4_frame_000070.jpg,3.663,36.8439,20.7271
val,0_1_part_007.mp4_frame_000079.jpg,3.9018,37.9445,24.5522
val,0_1_part_007.mp4_frame_000087.jpg,3.7631,38.2824,25.9266
val,0_1_part_007.mp4_frame_000091.jpg,3.7984,38.6882,26.7712
val,0_1_part_007.mp4_frame_000097.jpg,3.8063,36.8976,25.3159
val,0_1_part_007.mp4_frame_000106.jpg,4.0247,36.0651,31.5286
val,0_1_part_007.mp4_frame_000122.jpg,3.879,38.2521,29.5155
val,0_1_part_007.mp4_frame_000125.jpg,4.5045,37.2473,40.2955
